FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
349288,YT-1981-1981MA003,YT, ,1981MA003, ,63.659722,-137.619722,1981,6,12,1981-06-12 00:00:00,,,97.0,N,N, , , , , , , ,2016-06-16 00:00:00
136215,BC-2008-2008-G70331,BC, ,2008-G70331, ,56.0009,-122.1652,2008,8,8,2008-08-08 00:00:00,,,0.01,N,N,Fire, , , , , , ,2020-05-05 00:00:00
424498,ON-1980-THU29,ON, ,THU29, ,48.5703,-89.4625,1980,5,20,1980-05-20 00:00:00,,,85.4000015259,H,H,IFR, , , , , , ,2023-05-06 00:00:00
169998,AB-1992-DP2-007-92,AB, ,DP2-007-92,DP2007,56.8628,-118.0427,1992,7,21,1992-07-21 00:00:00,,1992-07-25 00:00:00,2.5,N,N,Surface, , , , , , ,2020-06-01 00:00:00
19466,BC-1953-1953-K00521,BC, ,1953-K00521, ,49.568,-119.733,1953,9,6,1953-09-06 00:00:00,,,0.8,N,N,Fire, , , , , , ,2020-05-05 00:00:00
278542,QC-1972-5039,QC, ,1972-5039, ,48.33693,-72.12473,1972,5,24,1972-05-24 00:00:00,,1972-05-25 00:00:00,0.8,H,H, , ,Intensive, , , , ,2018-05-18 00:00:00
47178,BC-1970-1970-NM0684,BC, ,1970-NM0684, ,51.499,-118.341,1970,8,24,1970-08-24 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
73527,BC-1979-1979-C90018,BC, ,1979-C90018, ,51.775,-123.567,1979,5,15,1979-05-15 00:00:00,,,0.5,H,H,Fire, , , , , , ,2020-05-05 00:00:00
245232,SK-2019-19PA-COXBY,SK, ,19PA-COXBY,19PA-COXBY,53.10165,-104.635533,2019,5,9,2019-05-09 00:00:00,,2019-05-12 00:00:00,142.0,H,H,Wildfire, , , , , , ,2020-04-03 00:00:00
273125,MB-2012-NE164,MB, ,NE164, ,54.44,-97.562222,2012,7,2,2012-07-02 00:00:00,,2012-08-03 00:00:00,0.5,N,N, ,FUL,FUL-R (High Priority), ,Actioned, , ,2013-04-15 00:00:00
263230,MB-1989-1-7-31-89,MB, ,1-7-31-89, ,54.0,-95.0333,1989,7,7,1989-07-07 00:00:00,,1989-07-10 00:00:00,4.8,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
215891,AB-2003-SWF034,AB, ,SWF034, ,55.3484,-115.7512,2003,5,22,2003-05-22 00:00:00,,2003-05-25 00:00:00,0.2,H,H,Ground, , , ,fueltype: O1b, , ,2020-06-01 00:00:00
202901,AB-2011-EWF055,AB, ,EWF055, ,52.881833,-116.917672,2011,7,1,2011-07-01 00:00:00,,2011-07-01 00:00:00,0.01,H,H, , , , ,fueltype:, , ,2020-06-01 00:00:00
188133,AB-1982-DR3-008-82,AB, ,DR3-008-82,DR3008,52.9287,-116.1975,1982,6,21,1982-06-21 00:00:00,,,0.0,N,N, , , , , , , ,2020-06-01 00:00:00
426598,ON-1996-COC37,ON, ,COC37, ,55.0329,-85.5512,1996,9,1,1996-09-01 00:00:00,,,10.0,N,N,OFR,MON, , , , , ,2023-05-06 00:00:00
384992,ON-1984-SIO14,ON, ,SIO14, ,51.7266,-91.8194,1984,5,16,1984-05-16 00:00:00,,1984-05-20 00:00:00,10.1000003815,H,H,IFR, , , , , , ,2023-05-06 00:00:00
